,FIPS,Name,State
0,1001,Autauga,AL
1,1003,Baldwin,AL
2,1005,Barbour,AL
3,1007,Bibb,AL
4,1009,Blount,AL
5,1011,Bullock,AL
6,1013,Butler,AL
7,1015,Calhoun,AL
8,1017,Chambers,AL
9,1019,Cherokee,AL
10,1021,Chilton,AL
11,1023,Choctaw,AL
12,1025,Clarke,AL
13,1027,Clay,AL
14,1029,Cleburne,AL
15,1031,Coffee,AL
16,1033,Colbert,AL
17,1035,Conecuh,AL
18,1037,Coosa,AL
19,1039,Covington,AL
20,1041,Crenshaw,AL
21,1043,Cullman,AL
22,1045,Dale,AL
23,1047,Dallas,AL
24,1049,De Kalb,AL
25,1051,Elmore,AL
26,1053,Escambia,AL
27,1055,Etowah,AL
28,1057,Fayette,AL
29,1059,Franklin,AL
30,1061,Geneva,AL
31,1063,Greene,AL
32,1065,Hale,AL
33,1067,Henry,AL
34,1069,Houston,AL
35,1071,Jackson,AL
36,1073,Jefferson,AL
37,1075,Lamar,AL
38,1077,Lauderdale,AL
39,1079,Lawrence,AL
40,1081,Lee,AL
41,1083,Limestone,AL
42,1085,Lowndes,AL
43,1087,Macon,AL
44,1089,Madison,AL
45,1091,Marengo,AL
46,1093,Marion,AL
47,1095,Marshall,AL
48,1097,Mobile,AL
49,1099,Monroe,AL
50,1101,Montgomery,AL
51,1103,Morgan,AL
52,1105,Perry,AL
53,1107,Pickens,AL
54,1109,Pike,AL
55,1111,Randolph,AL
56,1113,Russell,AL
57,1115,St Clair,AL
58,1117,Shelby,AL
59,1119,Sumter,AL
60,1121,Talladega,AL
61,1123,Tallapoosa,AL
62,1125,Tuscaloosa,AL
63,1127,Walker,AL
64,1129,Washington,AL
65,1131,Wilcox,AL
66,1133,Winston,AL
67,2013,Aleutians East,AK
68,2016,Aleutians West,AK
69,2020,Anchorage,AK
70,2050,Bethel,AK
71,2060,Bristol Bay,AK
72,2068,Denali,AK
73,2070,Dillingham,AK
74,2090,Fairbanks North Star,AK
75,2100,Haines,AK
76,2110,Juneau,AK
77,2122,Kenai Peninsula,AK
78,2130,Ketchikan Gateway,AK
79,2150,Kodiak Island,AK
80,2164,Lake and Peninsula,AK
81,2170,Matanuska-Susitna,AK
82,2180,Nome,AK
83,2185,North Slope,AK
84,2188,Northwest Arctic,AK
85,2201,Prince of Wales-Outer Ketchikan,AK
86,2220,Sitka,AK
87,2232,Skagway-Hoonah-Angoon,AK
88,2240,Southeast Fairbanks,AK
89,2261,Valdez-Cordova,AK
90,2270,Wade Hampton,AK
91,2280,Wrangell-Petersburg,AK
92,2282,Yakutat,AK
93,2290,Yukon-Koyukuk,AK
94,4001,Apache,AZ
95,4003,Cochise,AZ
96,4005,Coconino,AZ
97,4007,Gila,AZ
98,4009,Graham,AZ
99,4011,Greenlee,AZ
100,4012,La Paz,AZ
101,4013,Maricopa,AZ
102,4015,Mohave,AZ
103,4017,Navajo,AZ
104,4019,Pima,AZ
105,4021,Pinal,AZ
106,4023,Santa Cruz,AZ
107,4025,Yavapai,AZ
108,4027,Yuma,AZ
109,5001,Arkansas,AR
110,5003,Ashley,AR
111,5005,Baxter,AR
112,5007,Benton,AR
113,5009,Boone,AR
114,5011,Bradley,AR
115,5013,Calhoun,AR
116,5015,Carroll,AR
117,5017,Chicot,AR
118,5019,Clark,AR
119,5021,Clay,AR
120,5023,Cleburne,AR
121,5025,Cleveland,AR
122,5027,Columbia,AR
123,5029,Conway,AR
124,5031,Craighead,AR
125,5033,Crawford,AR
126,5035,Crittenden,AR
127,5037,Cross,AR
128,5039,Dallas,AR
129,5041,Desha,AR
130,5043,Drew,AR
131,5045,Faulkner,AR
132,5047,Franklin,AR
133,5049,Fulton,AR
134,5051,Garland,AR
135,5053,Grant,AR
136,5055,Greene,AR
137,5057,Hempstead,AR
138,5059,Hot Spring,AR
139,5061,Howard,AR
140,5063,Independence,AR
141,5065,Izard,AR
142,5067,Jackson,AR
143,5069,Jefferson,AR
144,5071,Johnson,AR
145,5073,Lafayette,AR
146,5075,Lawrence,AR
147,5077,Lee,AR
148,5079,Lincoln,AR
149,5081,Little River,AR
150,5083,Logan,AR
151,5085,Lonoke,AR
152,5087,Madison,AR
153,5089,Marion,AR
154,5091,Miller,AR
155,5093,Mississippi,AR
156,5095,Monroe,AR
157,5097,Montgomery,AR
158,5099,Nevada,AR
159,5101,Newton,AR
160,5103,Ouachita,AR
161,5105,Perry,AR
162,5107,Phillips,AR
163,5109,Pike,AR
164,5111,Poinsett,AR
165,5113,Polk,AR
166,5115,Pope,AR
167,5117,Prairie,AR
168,5119,Pulaski,AR
169,5121,Randolph,AR
170,5123,St Francis,AR
171,5125,Saline,AR
172,5127,Scott,AR
173,5129,Searcy,AR
174,5131,Sebastian,AR
175,5133,Sevier,AR
176,5135,Sharp,AR
177,5137,Stone,AR
178,5139,Union,AR
179,5141,Van Buren,AR
180,5143,Washington,AR
181,5145,White,AR
182,5147,Woodruff,AR
183,5149,Yell,AR
184,6001,Alameda,CA
185,6003,Alpine,CA
186,6005,Amador,CA
187,6007,Butte,CA
188,6009,Calaveras,CA
189,6011,Colusa,CA
190,6013,Contra Costa,CA
191,6015,Del Norte,CA
192,6017,El Dorado,CA
193,6019,Fresno,CA
194,6021,Glenn,CA
195,6023,Humboldt,CA
196,6025,Imperial,CA
197,6027,Inyo,CA
198,6029,Kern,CA
199,6031,Kings,CA
200,6033,Lake,CA
201,6035,Lassen,CA
202,6037,Los Angeles,CA
203,6039,Madera,CA
204,6041,Marin,CA
205,6043,Mariposa,CA
206,6045,Mendocino,CA
207,6047,Merced,CA
208,6049,Modoc,CA
209,6051,Mono,CA
210,6053,Monterey,CA
211,6055,Napa,CA
212,6057,Nevada,CA
213,6059,Orange,CA
214,6061,Placer,CA
215,6063,Plumas,CA
216,6065,Riverside,CA
217,6067,Sacramento,CA
218,6069,San Benito,CA
219,6071,San Bernardino,CA
220,6073,San Diego,CA
221,6075,San Francisco,CA
222,6077,San Joaquin,CA
223,6079,San Luis Obispo,CA
224,6081,San Mateo,CA
225,6083,Santa Barbara,CA
226,6085,Santa Clara,CA
227,6087,Santa Cruz,CA
228,6089,Shasta,CA
229,6091,Sierra,CA
230,6093,Siskiyou,CA
231,6095,Solano,CA
232,6097,Sonoma,CA
233,6099,Stanislaus,CA
234,6101,Sutter,CA
235,6103,Tehama,CA
236,6105,Trinity,CA
237,6107,Tulare,CA
238,6109,Tuolumne,CA
239,6111,Ventura,CA
240,6113,Yolo,CA
241,6115,Yuba,CA
242,8001,Adams,CO
243,8003,Alamosa,CO
244,8005,Arapahoe,CO
245,8007,Archuleta,CO
246,8009,Baca,CO
247,8011,Bent,CO
248,8013,Boulder,CO
249,8015,Chaffee,CO
250,8017,Cheyenne,CO
251,8019,Clear Creek,CO
252,8021,Conejos,CO
253,8023,Costilla,CO
254,8025,Crowley,CO
255,8027,Custer,CO
256,8029,Delta,CO
257,8031,Denver,CO
258,8033,Dolores,CO
259,8035,Douglas,CO
260,8037,Eagle,CO
261,8039,Elbert,CO
262,8041,El Paso,CO
263,8043,Fremont,CO
264,8045,Garfield,CO
265,8047,Gilpin,CO
266,8049,Grand,CO
267,8051,Gunnison,CO
268,8053,Hinsdale,CO
269,8055,Huerfano,CO
270,8057,Jackson,CO
271,8059,Jefferson,CO
272,8061,Kiowa,CO
273,8063,Kit Carson,CO
274,8065,Lake,CO
275,8067,La Plata,CO
276,8069,Larimer,CO
277,8071,Las Animas,CO
278,8073,Lincoln,CO
279,8075,Logan,CO
280,8077,Mesa,CO
281,8079,Mineral,CO
282,8081,Moffat,CO
283,8083,Montezuma,CO
284,8085,Montrose,CO
285,8087,Morgan,CO
286,8089,Otero,CO
287,8091,Ouray,CO
288,8093,Park,CO
289,8095,Phillips,CO
290,8097,Pitkin,CO
291,8099,Prowers,CO
292,8101,Pueblo,CO
293,8103,Rio Blanco,CO
294,8105,Rio Grande,CO
295,8107,Routt,CO
296,8109,Saguache,CO
297,8111,San Juan,CO
298,8113,San Miguel,CO
299,8115,Sedgwick,CO
300,8117,Summit,CO
301,8119,Teller,CO
302,8121,Washington,CO
303,8123,Weld,CO
304,8125,Yuma,CO
305,9001,Fairfield,CT
306,9003,Hartford,CT
307,9005,Litchfield,CT
308,9007,Middlesex,CT
309,9009,New Haven,CT
310,9011,New London,CT
311,9013,Tolland,CT
312,9015,Windham,CT
313,10001,Kent,DE
314,10003,New Castle,DE
315,10005,Sussex,DE
316,11001,Washington,DC
317,12001,Alachua,FL
318,12003,Baker,FL
319,12005,Bay,FL
320,12007,Bradford,FL
321,12009,Brevard,FL
322,12011,Broward,FL
323,12013,Calhoun,FL
324,12015,Charlotte,FL
325,12017,Citrus,FL
326,12019,Clay,FL
327,12021,Collier,FL
328,12023,Columbia,FL
329,12027,De Soto,FL
330,12029,Dixie,FL
331,12031,Duval,FL
332,12033,Escambia,FL
333,12035,Flagler,FL
334,12037,Franklin,FL
335,12039,Gadsden,FL
336,12041,Gilchrist,FL
337,12043,Glades,FL
338,12045,Gulf,FL
339,12047,Hamilton,FL
340,12049,Hardee,FL
341,12051,Hendry,FL
342,12053,Hernando,FL
343,12055,Highlands,FL
344,12057,Hillsborough,FL
345,12059,Holmes,FL
346,12061,Indian River,FL
347,12063,Jackson,FL
348,12065,Jefferson,FL
349,12067,Lafayette,FL
350,12069,Lake,FL
351,12071,Lee,FL
352,12073,Leon,FL
353,12075,Levy,FL
354,12077,Liberty,FL
355,12079,Madison,FL
356,12081,Manatee,FL
357,12083,Marion,FL
358,12085,Martin,FL
359,12086,Miami-Dade,FL
360,12087,Monroe,FL
361,12089,Nassau,FL
362,12091,Okaloosa,FL
363,12093,Okeechobee,FL
364,12095,Orange,FL
365,12097,Osceola,FL
366,12099,Palm Beach,FL
367,12101,Pasco,FL
368,12103,Pinellas,FL
369,12105,Polk,FL
370,12107,Putnam,FL
371,12109,St Johns,FL
372,12111,St Lucie,FL
373,12113,Santa Rosa,FL
374,12115,Sarasota,FL
375,12117,Seminole,FL
376,12119,Sumter,FL
377,12121,Suwannee,FL
378,12123,Taylor,FL
379,12125,Union,FL
380,12127,Volusia,FL
381,12129,Wakulla,FL
382,12131,Walton,FL
383,12133,Washington,FL
384,13001,Appling,GA
385,13003,Atkinson,GA
386,13005,Bacon,GA
387,13007,Baker,GA
388,13009,Baldwin,GA
389,13011,Banks,GA
390,13013,Barrow,GA
391,13015,Bartow,GA
392,13017,Ben Hill,GA
393,13019,Berrien,GA
394,13021,Bibb,GA
395,13023,Bleckley,GA
396,13025,Brantley,GA
397,13027,Brooks,GA
398,13029,Bryan,GA
399,13031,Bulloch,GA
400,13033,Burke,GA
401,13035,Butts,GA
402,13037,Calhoun,GA
403,13039,Camden,GA
404,13043,Candler,GA
405,13045,Carroll,GA
406,13047,Catoosa,GA
407,13049,Charlton,GA
408,13051,Chatham,GA
409,13053,Chattahoochee,GA
410,13055,Chattooga,GA
411,13057,Cherokee,GA
412,13059,Clarke,GA
413,13061,Clay,GA
414,13063,Clayton,GA
415,13065,Clinch,GA
416,13067,Cobb,GA
417,13069,Coffee,GA
418,13071,Colquitt,GA
419,13073,Columbia,GA
420,13075,Cook,GA
421,13077,Coweta,GA
422,13079,Crawford,GA
423,13081,Crisp,GA
424,13083,Dade,GA
425,13085,Dawson,GA
426,13087,Decatur,GA
427,13089,De Kalb,GA
428,13091,Dodge,GA
429,13093,Dooly,GA
430,13095,Dougherty,GA
431,13097,Douglas,GA
432,13099,Early,GA
433,13101,Echols,GA
434,13103,Effingham,GA
435,13105,Elbert,GA
436,13107,Emanuel,GA
437,13109,Evans,GA
438,13111,Fannin,GA
439,13113,Fayette,GA
440,13115,Floyd,GA
441,13117,Forsyth,GA
442,13119,Franklin,GA
443,13121,Fulton,GA
444,13123,Gilmer,GA
445,13125,Glascock,GA
446,13127,Glynn,GA
447,13129,Gordon,GA
448,13131,Grady,GA
449,13133,Greene,GA
450,13135,Gwinnett,GA
451,13137,Habersham,GA
452,13139,Hall,GA
453,13141,Hancock,GA
454,13143,Haralson,GA
455,13145,Harris,GA
456,13147,Hart,GA
457,13149,Heard,GA
458,13151,Henry,GA
459,13153,Houston,GA
460,13155,Irwin,GA
461,13157,Jackson,GA
462,13159,Jasper,GA
463,13161,Jeff Davis,GA
464,13163,Jefferson,GA
465,13165,Jenkins,GA
466,13167,Johnson,GA
467,13169,Jones,GA
468,13171,Lamar,GA
469,13173,Lanier,GA
470,13175,Laurens,GA
471,13177,Lee,GA
472,13179,Liberty,GA
473,13181,Lincoln,GA
474,13183,Long,GA
475,13185,Lowndes,GA
476,13187,Lumpkin,GA
477,13189,McDuffie,GA
478,13191,McIntosh,GA
479,13193,Macon,GA
480,13195,Madison,GA
481,13197,Marion,GA
482,13199,Meriwether,GA
483,13201,Miller,GA
484,13205,Mitchell,GA
485,13207,Monroe,GA
486,13209,Montgomery,GA
487,13211,Morgan,GA
488,13213,Murray,GA
489,13215,Muscogee,GA
490,13217,Newton,GA
491,13219,Oconee,GA
492,13221,Oglethorpe,GA
493,13223,Paulding,GA
494,13225,Peach,GA
495,13227,Pickens,GA
496,13229,Pierce,GA
497,13231,Pike,GA
498,13233,Polk,GA
499,13235,Pulaski,GA
500,13237,Putnam,GA
501,13239,Quitman,GA
502,13241,Rabun,GA
503,13243,Randolph,GA
504,13245,Richmond,GA
505,13247,Rockdale,GA
506,13249,Schley,GA
507,13251,Screven,GA
508,13253,Seminole,GA
509,13255,Spalding,GA
510,13257,Stephens,GA
511,13259,Stewart,GA
512,13261,Sumter,GA
513,13263,Talbot,GA
514,13265,Taliaferro,GA
515,13267,Tattnall,GA
516,13269,Taylor,GA
517,13271,Telfair,GA
518,13273,Terrell,GA
519,13275,Thomas,GA
520,13277,Tift,GA
521,13279,Toombs,GA
522,13281,Towns,GA
523,13283,Treutlen,GA
524,13285,Troup,GA
525,13287,Turner,GA
526,13289,Twiggs,GA
527,13291,Union,GA
528,13293,Upson,GA
529,13295,Walker,GA
530,13297,Walton,GA
531,13299,Ware,GA
532,13301,Warren,GA
533,13303,Washington,GA
534,13305,Wayne,GA
535,13307,Webster,GA
536,13309,Wheeler,GA
537,13311,White,GA
538,13313,Whitfield,GA
539,13315,Wilcox,GA
540,13317,Wilkes,GA
541,13319,Wilkinson,GA
542,13321,Worth,GA
543,15001,Hawaii,HI
544,15003,Honolulu,HI
545,15007,Kauai,HI
546,15009,Maui,HI
547,16001,Ada,ID
548,16003,Adams,ID
549,16005,Bannock,ID
550,16007,Bear Lake,ID
551,16009,Benewah,ID
552,16011,Bingham,ID
553,16013,Blaine,ID
554,16015,Boise,ID
555,16017,Bonner,ID
556,16019,Bonneville,ID
557,16021,Boundary,ID
558,16023,Butte,ID
559,16025,Camas,ID
560,16027,Canyon,ID
561,16029,Caribou,ID
562,16031,Cassia,ID
563,16033,Clark,ID
564,16035,Clearwater,ID
565,16037,Custer,ID
566,16039,Elmore,ID
567,16041,Franklin,ID
568,16043,Fremont,ID
569,16045,Gem,ID
570,16047,Gooding,ID
571,16049,Idaho,ID
572,16051,Jefferson,ID
573,16053,Jerome,ID
574,16055,Kootenai,ID
575,16057,Latah,ID
576,16059,Lemhi,ID
577,16061,Lewis,ID
578,16063,Lincoln,ID
579,16065,Madison,ID
580,16067,Minidoka,ID
581,16069,Nez Perce,ID
582,16071,Oneida,ID
583,16073,Owyhee,ID
584,16075,Payette,ID
585,16077,Power,ID
586,16079,Shoshone,ID
587,16081,Teton,ID
588,16083,Twin Falls,ID
589,16085,Valley,ID
590,16087,Washington,ID
591,17001,Adams,IL
592,17003,Alexander,IL
593,17005,Bond,IL
594,17007,Boone,IL
595,17009,Brown,IL
596,17011,Bureau,IL
597,17013,Calhoun,IL
598,17015,Carroll,IL
599,17017,Cass,IL
600,17019,Champaign,IL
601,17021,Christian,IL
602,17023,Clark,IL
603,17025,Clay,IL
604,17027,Clinton,IL
605,17029,Coles,IL
606,17031,Cook,IL
607,17033,Crawford,IL
608,17035,Cumberland,IL
609,17037,De Kalb,IL
610,17039,De Witt,IL
611,17041,Douglas,IL
612,17043,Du Page,IL
613,17045,Edgar,IL
614,17047,Edwards,IL
615,17049,Effingham,IL
616,17051,Fayette,IL
617,17053,Ford,IL
618,17055,Franklin,IL
619,17057,Fulton,IL
620,17059,Gallatin,IL
621,17061,Greene,IL
622,17063,Grundy,IL
623,17065,Hamilton,IL
624,17067,Hancock,IL
625,17069,Hardin,IL
626,17071,Henderson,IL
627,17073,Henry,IL
628,17075,Iroquois,IL
629,17077,Jackson,IL
630,17079,Jasper,IL
631,17081,Jefferson,IL
632,17083,Jersey,IL
633,17085,Jo Daviess,IL
634,17087,Johnson,IL
635,17089,Kane,IL
636,17091,Kankakee,IL
637,17093,Kendall,IL
638,17095,Knox,IL
639,17097,Lake,IL
